make,model,year,engine_cc,fuel_type,transmission,start_stop,trim,battery_group,battery_type,capacity_ah,voltage,cca,length_mm,width_mm,height_mm,terminal_type,hold_down,polarity,source
Mazda,CX-5,2015,1600,Petrol,Auto,Yes,Sport,AGM70,AGM,70,12,691,315,175,175,Top Post,B13,R,Manufacturer Manual
Kia,Sportage,2012,1500,Petrol,Auto,Yes,Base,AGM80,AGM,80,12,676,315,175,175,Top Post,B13,R,Bosch Catalog
Volkswagen,Tiguan,2017,1500,Petrol,Auto,No,Base,DIN55,SMF,55,12,660,242,173,190,Top Post,B13,R,Battery Finder Database
BMW,320i,2020,2500,Diesel,Manual,Yes,Base,EFB65,EFB,65,12,768,278,173,225,Top Post,B13,R,Exide Catalog
Volkswagen,Tiguan,2024,2500,Petrol,Auto,No,Premium,DIN44,SMF,44,12,546,260,175,190,Top Post,B13,L,Exide Catalog
Kia,Cerato,2021,2000,Diesel,Manual,No,Premium,DIN55,SMF,55,12,420,242,175,175,Top Post,B13,L,Manufacturer Manual
Toyota,Hilux,2013,1600,Diesel,Auto,Yes,Sport,AGM70,AGM,70,12,660,278,175,225,Top Post,B13,R,Bosch Catalog
BMW,X3,2018,2500,Diesel,Manual,No,Touring,DIN44,SMF,44,12,719,315,175,190,Top Post,B13,L,Bosch Catalog
Nissan,Qashqai,2014,3000,Diesel,Manual,No,Touring,DIN44,SMF,44,12,548,260,173,190,Top Post,B13,R,Manufacturer Manual
Honda,Accord,2024,3000,Diesel,Auto,No,Standard,DIN55,SMF,55,12,473,278,173,225,Top Post,B13,R,Battery Finder Database
BMW,X5,2015,1600,Diesel,Manual,Yes,Sport,AGM70,AGM,70,12,550,278,173,175,Top Post,B13,L,Battery Finder Database
Mazda,CX-9,2020,2200,Diesel,Manual,No,Sport,DIN44,SMF,44,12,454,278,173,175,Top Post,B13,R,Bosch Catalog
Mazda,Axela,2024,3000,Diesel,Manual,No,Base,DIN44,SMF,44,12,446,278,175,190,Top Post,B13,L,Bosch Catalog
Kia,Sorento,2019,1300,Diesel,Manual,No,Base,DIN44,SMF,44,12,782,260,173,175,Top Post,B13,L,Exide Catalog
BMW,X3,2017,1600,Petrol,Auto,Yes,Sport,EFB65,EFB,65,12,675,315,173,175,Top Post,B13,L,Exide Catalog
Mercedes,GLA,2016,2500,Petrol,Manual,No,Premium,DIN55,SMF,55,12,502,315,175,175,Top Post,B13,L,Bosch Catalog
Honda,Civic,2013,1600,Petrol,Auto,Yes,Base,EFB65,EFB,65,12,539,242,175,190,Top Post,B13,R,Battery Finder Database
Nissan,Navara,2013,2000,Diesel,Manual,Yes,Premium,EFB60,EFB,60,12,549,278,173,225,Top Post,B13,L,Bosch Catalog
Volkswagen,Polo,2014,2200,Diesel,Auto,Yes,Base,AGM80,AGM,80,12,499,260,173,175,Top Post,B13,R,Bosch Catalog
Hyundai,Santa Fe,2021,1500,Petrol,Manual,Yes,Base,AGM80,AGM,80,12,795,260,173,175,Top Post,B13,L,Manufacturer Manual
BMW,118i,2013,1600,Petrol,Auto,Yes,Standard,EFB65,EFB,65,12,579,260,175,225,Top Post,B13,R,Bosch Catalog
Hyundai,i20,2019,1300,Diesel,Manual,No,Sport,DIN44,SMF,44,12,746,242,173,190,Top Post,B13,L,Exide Catalog
Honda,Civic,2024,3000,Petrol,Auto,No,Standard,DIN44,SMF,44,12,744,315,173,175,Top Post,B13,L,Bosch Catalog
Mazda,CX-5,2016,1500,Diesel,Manual,No,Standard,DIN44,SMF,44,12,440,260,173,225,Top Post,B13,L,Bosch Catalog
Mercedes,A200,2012,2500,Petrol,Auto,Yes,Base,EFB65,EFB,65,12,615,242,175,175,Top Post,B13,L,Bosch Catalog
BMW,X3,2019,1300,Petrol,Manual,No,Sport,DIN55,SMF,55,12,456,278,173,190,Top Post,B13,R,Exide Catalog
Honda,CR-V,2022,2500,Diesel,Manual,Yes,Standard,EFB60,EFB,60,12,516,315,175,190,Top Post,B13,R,Bosch Catalog
Volkswagen,Tiguan,2020,3000,Petrol,Auto,No,Standard,DIN44,SMF,44,12,467,260,173,175,Top Post,B13,L,Exide Catalog
Toyota,Axio,2021,2200,Petrol,Manual,No,Sport,DIN44,SMF,44,12,674,242,173,225,Top Post,B13,R,Exide Catalog
Honda,CR-V,2014,2000,Petrol,Auto,Yes,Base,EFB60,EFB,60,12,692,260,173,175,Top Post,B13,L,Manufacturer Manual
